# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
-1.187174901996275178e-01, 3.999999999999999112e+00, 8.834950365372393200e-02, 1.399999999999999911e+00, 3.415838762408752949e+00
1.126797301131688550e-01, 3.999999999999999112e+00, 6.525624713817938793e-02, 1.399999999999999911e+00, 3.586533649582798411e+00
2.981207855697557418e-01, 3.999999999999999112e+00, 4.497759626330888327e-02, 1.399999999999999911e+00, 3.723464124463156111e+00
4.392219499924824300e-01, 3.999999999999999112e+00, 2.851240659374838088e-02, 1.399999999999999911e+00, 3.827739635619072267e+00
5.424047336960498011e-01, 3.999999999999999112e+00, 1.588864403597742281e-02, 1.399999999999999911e+00, 3.904044169930655173e+00
6.156888335196615269e-01, 3.999999999999999112e+00, 6.610951838107487384e-03, 1.399999999999999911e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 6.000000000000000888e+00, 0.000000000000000000e+00, 1.600000000000000089e+00, 0.000000000000000000e+00
6.157108539441008555e-01, 6.000000000000000888e+00, -6.372141898751382781e-03, 1.600000000000000089e+00, 4.173311976788848798e-02
5.424603862075714211e-01, 6.000000000000000888e+00, -1.531454817558705953e-02, 1.600000000000000089e+00, 9.595583006934514658e-02
4.393286990321914054e-01, 6.000000000000000888e+00, -2.748185938454392879e-02, 1.600000000000000089e+00, 1.722603643809275942e-01
2.983039481321344555e-01, 6.000000000000000888e+00, -4.335136622237263648e-02, 1.600000000000000089e+00, 2.765358755368439447e-01
1.129738830468215993e-01, 6.000000000000000888e+00, -6.289607335392267962e-02, 1.600000000000000089e+00, 4.134663504172014781e-01
-1.182688611319391569e-01, 6.000000000000000888e+00, -8.515401670305516868e-02, 1.600000000000000089e+00, 5.841612375912467181e-01
